Distance WRT Exit Plane (mm),12.5,14.4,17.7,19.4,21.7,24.3,28.7,32.1,35.7,38.9,44.8
4,9.94,9.20,6.93,5.67,4.31,2.58,1.36,1.55,1.72,2.53,5.47
6,12.56,11.04,7.93,6.45,4.65,3.06,1.81,2.54,3.66,5.09,9.06
8,17.84,16.07,12.20,10.22,7.59,5.52,3.08,3.56,5.26,7.25,12.49
10,23.35,21.92,17.61,14.98,11.24,8.12,3.92,3.44,5.01,7.54,14.06
12,26.85,26.51,22.65,19.68,15.02,10.70,4.67,2.81,3.37,5.74,12.68
14,27.30,28.78,26.86,24.26,19.45,14.33,6.59,2.93,2.02,3.20,8.87
16,24.99,28.58,30.00,28.54,24.56,19.44,10.57,4.85,2.04,1.76,4.68
18,20.54,26.17,31.54,31.69,29.34,25.22,16.40,9.24,4.02,2.08,2.16
20,14.67,21.84,30.71,32.55,32.23,29.87,22.62,15.43,8.43,4.69,1.82
22,8.86,16.42,27.64,30.98,32.68,32.42,27.80,21.88,14.76,9.85,3.77
24,4.70,11.21,23.37,27.78,31.15,32.81,31.08,27.02,21.33,16.09,8.18
26,2.50,6.80,18.39,23.28,27.79,30.94,31.84,29.79,26.10,21.63,13.68
28,1.80,3.52,13.22,18.13,23.32,27.54,30.78,30.73,28.82,25.99,19.15
30,2.13,1.70,8.87,13.47,18.89,23.78,28.84,30.47,29.96,28.87,23.83
32,3.26,1.04,5.56,9.56,14.81,19.94,26.15,28.94,29.55,29.91,27.00
34,5.08,1.11,3.11,6.35,11.18,16.32,23.32,27.00,28.68,30.20,29.55
36,7.11,1.65,1.53,3.99,8.24,13.20,20.67,25.05,27.69,30.04,31.27
38,8.72,2.45,0.66,2.31,5.87,10.40,17.82,22.57,25.83,28.71,31.05
40,10.20,3.46,0.27,1.12,3.91,7.90,15.07,20.06,23.81,27.08,30.31
42,11.54,4.53,0.19,0.43,2.49,5.92,12.72,17.83,21.95,25.45,29.55
44,12.23,5.33,0.29,0.15,1.54,4.39,10.61,15.57,19.80,23.30,27.98
46,12.81,6.08,0.55,0.08,0.89,3.23,8.89,13.66,17.95,21.45,26.63
48,13.27,6.72,0.89,0.09,0.50,2.38,7.50,12.09,16.41,19.90,25.43
50,13.31,7.10,1.25,0.20,0.29,1.75,6.27,10.57,14.78,18.17,23.72
52,13.53,7.60,1.68,0.43,0.19,1.25,5.25,9.32,13.44,16.80,22.43
54,13.72,8.04,2.09,0.70,0.14,0.88,4.39,8.21,12.26,15.64,21.38
56,13.55,8.20,2.41,0.94,0.17,0.63,3.63,7.14,11.00,14.33,20.05
58,13.54,8.45,2.78,1.22,0.26,0.47,3.03,6.27,9.97,13.26,19.00
60,13.46,8.63,3.10,1.48,0.36,0.35,2.51,5.50,9.04,12.25,17.98
62,13.10,8.61,3.30,1.67,0.45,0.28,2.08,4.79,8.11,11.20,16.82
64,12.85,8.65,3.49,1.85,0.56,0.24,1.75,4.26,7.41,10.39,15.97
66,12.48,8.53,3.57,1.96,0.64,0.23,1.50,3.80,6.77,9.61,15.08
68,11.93,8.23,3.55,2.01,0.70,0.24,1.29,3.38,6.14,8.80,14.01
70,11.56,8.07,3.60,2.10,0.79,0.27,1.13,3.03,5.62,8.15,13.15
72,11.17,7.90,3.64,2.19,0.88,0.30,0.98,2.71,5.12,7.52,12.32
74,10.76,7.70,3.66,2.26,0.95,0.33,0.86,2.43,4.67,6.93,11.52
76,10.54,7.62,3.74,2.36,1.05,0.38,0.77,2.21,4.34,6.50,10.93
78,10.29,7.54,3.80,2.44,1.13,0.42,0.70,2.01,4.02,6.09,10.37
80,10.03,7.45,3.86,2.52,1.22,0.48,0.63,1.82,3.70,5.68,9.82
82,9.90,7.47,3.98,2.65,1.33,0.54,0.57,1.65,3.44,5.36,9.40
84,9.73,7.41,4.05,2.73,1.41,0.59,0.51,1.49,3.17,5.02,8.96
86,9.46,7.26,4.04,2.75,1.44,0.62,0.45,1.34,2.92,4.68,8.48
88,9.18,7.10,4.00,2.74,1.46,0.64,0.42,1.23,2.72,4.40,8.07
90,8.77,6.85,3.90,2.70,1.46,0.65,0.39,1.12,2.50,4.10,7.58
92,8.34,6.56,3.79,2.65,1.46,0.67,0.37,1.01,2.28,3.77,7.06
